日期,價平買權次週每日結算價,價平買權近週每日結算價,價平賣權次週每日結算價,價平賣權近週每日結算價,價平買權近週報酬,價平賣權近週報酬,價平買權近週報酬(金額),價平賣權近週報酬(金額),訊號,策略損益(金額)
2021/3/15,,365,,12.5,-32,-8.5,-1600,-425,1,-1600
2021/3/16,,460,,1.6,95,-10.9,4750,-545,1,4750
2021/3/17,170,345,105,0.1,-115,-1.5,-5750,-75,1,-5750
2021/3/18,,194,,66,21,-42,1050,-2100,1,1050
2021/3/19,,68,,158,-126,92,-6300,4600,1,-6300
2021/3/22,,98,,77,30,-81,1500,-4050,1,1500
2021/3/23,,71,,56,-27,-21,-1350,-1050,1,-1350
2021/3/24,178,0.2,114,121,-70.8,65,-3540,3250,1,-3540
2021/3/25,,190,,76,9,-41,450,-2050,1,450
2021/3/26,,378,,15,188,-61,9400,-3050,1,9400
2021/3/29,,495,,5.7,117,-9.3,5850,-465,1,5850
2021/3/30,,590,,0.6,95,-5.1,4750,-255,1,4750
2021/3/31,144,494,90,0.1,-96,-0.5,-4800,-25,1,-4800
2021/4/1,,214,,41.5,67,-51.5,3350,-2575,1,3350
2021/4/6,,343,,0.7,129,-40.8,6450,-2040,1,6450
2021/4/7,142,390,101,0.1,47,-0.6,2350,-30,1,2350
2021/4/8,,225,,31.5,80,-72.5,4000,-3625,1,4000
2021/4/9,,159,,51,-66,19.5,-3300,975,1,-3300
2021/4/12,,133,,33,-26,-18,-1300,-900,1,-1300
2021/4/13,,90,,25,-43,-8,-2150,-400,1,-2150
2021/4/14,141,67,130,0.2,-23,-24.8,-1150,-1240,1,-1150
2021/4/15,,281,,58,137,-75,6850,-3750,1,6850
2021/4/16,,327,,21,46,-37,2300,-1850,1,2300
2021/4/19,,425,,5.3,98,-15.7,4900,-785,1,4900
2021/4/20,,475,,1.7,50,-3.6,2500,-180,1,2500
2021/4/21,195,381,115,0.2,-94,-1.5,-4700,-75,1,-4700
2021/4/22,,166,,119,-32,1,-1600,50,1,-1600
2021/4/23,,232,,47.5,66,-71.5,3300,-3575,1,3300
2021/4/26,,462,,6.8,230,-40.7,11500,-2035,1,11500
2021/4/27,,505,,1.1,43,-5.7,2150,-285,1,2150
2021/4/28,176,444,115,0.1,-61,-1,-3050,-50,1,-3050
2021/4/29,,172,,78,-7,-40,-350,-2000,1,-350
2021/5/3,,19,,233,-153,155,-7650,7750,1,-7650
2021/5/4,,0.9,,535,-18.1,302,-905,15100,1,-905
2021/5/5,222,0.1,183,610,-0.8,75,-40,3750,1,-40
2021/5/6,,297,,86,72,-100,3600,-5000,1,3600
2021/5/7,,560,,13.5,263,-72.5,13150,-3625,1,13150
2021/5/10,,500,,5.1,-60,-8.4,-3000,-420,1,-3000
2021/5/11,,49,,193,-451,187.9,-22550,9395,1,-22550
